English,English - Plural,Translation - No Plural,Translation - Singluar,Translation - Plural,Similar to,Needs work,Note to Translator
"Your changes will be recorded in a change log. For future reference, please share your rationale for these changes.",,,,,,,#. Translators: Ask user to explain reason for changes being made for the#. change log
This action cannot be undone.,,,,,,,#. Translators: Confirm a permenant change
Warning,,,,,,,#. Translators: A header label that the user is about to do something#. dangerous
Share Your Rationale,,,,,,,#. Translators: Modal title asking user to enter in a rational for their#. change
Date,,,,,,,#. Translators: Label for table column: timestamp showing day/month/year and#. time
Admin,,,,,,,#. Translators: Label for table column: name of administrator that performed#. a#. change
Change Type,,,,,,,#. Translators: The type of change performed by an adminstrator in a change#. log
Previous Entry,,,,,,,#. Translators: The old value of a change in a change log entry
New Entry,,,,,,,#. Translators: The new value of a change in a change log entry
Filter by program,,Filtrer par programme,,,,,
Find a document,,Trouver un document,,,,,
Add document,,Ajouter un document,,,,,
Document,,Document,,,,,
Date added,,Date ajoutée,,,,,
Project,,Projet,,,,,
Delete,,Effacer,,,,,
Edit,,Modifier,,,,,
Showing rows %(fromCount)s to %(toCount)s of %(totalCount)s,,Affichage des rangs %(fromCount)s à %(toCount)s sur %(totalCount)s,,,,,#. Translators: Ex. Showing rows 1 to 50 of 92 */
%s indicator has missing targets,%s indicators have missing targets,,%s indicateur a des cibles manquantes,%s indicateurs ont des cibles manquantes,,,#. Translators: The number of indicators that do not have targets defined on#. them
%s indicator has missing results,%s indicators have missing results,,%s indicateur a des résultats manquants,%s indicateurs ont des résultats manquants,,,#. Translators: The number of indicators that no one has entered in any#. results for
%s indicator has missing evidence,%s indicators have missing evidence,,%s indicateur a des preuves manquantes,%s indicateurs ont des preuves manquantes,,,#. Translators: The number of indicators that contain results that are not#. backed up with evidence
%s indicator is >15% above target,%s indicators are >15% above target,,%s indicateur est >15% au-dessus de la cible,%s indicateurs sont >15% au-dessus de la cible,,,#. Translators: shows what number of indicators are a certain percentage above#. target. Example: 3 indicators are >15% above target
%s indicator is >15% below target,%s indicators are >15% below target,,%s indicateur est >15% en dessous de la cible,%s indicateurs sont >15% en dessous de la cible,,,#. Translators: shows what number of indicators are a certain percentage below#. target. Example: 3 indicators are >15% below target
%s indicator is on track,%s indicators are on track,,%s indicateur est en bonne voie,%s Indicateurs sont en bonne voie,,,#. Translators: shows what number of indicators are within a set range of#. target. Example: 3 indicators are on track
%s indicator,%s indicators,,%s indicateur,%s indicateurs,,,#. Translators: the number of indicators in a list. Example: 3 indicators
Add indicator,,Ajouter un indicateur,,,,,
Find an indicator:,,Trouver un indicateur :,,,,,
None,,Aucun,,,,,
Indicator,,Indicateur,,,,,
Level,,Niveau,,,,,
Unit of measure,,Unité de mesure,,,,,
Baseline,,Base de référence,,,,,
Target,,Cible,,,,,
"Some indicators have missing targets. To enter these values, click the target icon near the indicator name.",,"Certains indicateurs ont des cibles manquantes. Pour entrer ces valeurs, cliquez sur l'icône de la cible près du nom de l'indicateur.",,,,,
Indicators on track,,Indicateurs en bonne voie,,,,,
%(percentNonReporting)s% unavailable,,%(percentNonReporting)s% indisponible,,,,,#. Translators: variable %s shows what percentage of indicators have no#. targets reporting data. Example: 31% unavailable */
"The indicator has no targets, no completed target periods, or no results reported.",,"L'indicateur n'a pas de cibles, pas de périodes cibles terminées ni de résultats rapportés.",,,,,#. Translators: help text for the percentage of indicators with no targets#. reporting data. */
"The actual value matches the target value, plus or minus 15%. So if your target is 100 and your result is 110, the indicator is 10% above target and on track.  <br><br>Please note that if your indicator has a decreasing direction of change, then “above” and “below” are switched. In that case, if your target is 100 and your result is 200, your indicator is 50% below target and not on track.<br><br><a href='https://docs.google.com/document/d/1Gl9bxJJ6hdhCXeoOCoR1mnVKZa2FlEOhaJcjexiHzY0' target='_blank'>See our documentation for more information.</a>",,"La valeur réelle correspond à la valeur cible, plus ou moins 15%. Donc, si votre cible est 100 et votre résultat 110, l'indicateur est 10% au-dessus de la cible et sur la bonne voie.  <br><br>Veuillez noter que si le sens de changement de votre indicateur est décroissant, les indicateurs « au-dessus » et «  en dessous » sont alors inversés. Dans ce cas, si votre cible est 100 et votre résultat 200, votre indicateur est 50% en dessous de la cible et pas en bonne voie.<br><br><a href='https://docs.google.com/document/d/1Gl9bxJJ6hdhCXeoOCoR1mnVKZa2FlEOhaJcjexiHzY0' target='_blank'>Consultez notre documentation pour plus dinformations.</a>",,,,,"#. Translators: Help text explaining what an ""on track"" indicator is. */"
<strong>%(percentHigh)s%</strong> are >%(marginPercent)s% above target,,<strong>%(percentHigh)s%</strong> sont >%(marginPercent)s% au-dessus de la cible,,,,,#. Translators: variable %(percentHigh)s shows what percentage of indicators#. are a certain percentage above target percent %(marginPercent)s. Example:#. 31% are >15% above target */
<strong>%s%</strong> are on track,,<strong>%s%</strong> sont en bonne voie,,,,,#. Translators: variable %s shows what percentage of indicators are within a#. set range of target. Example: 31%  are on track */
<strong>%(percentBelow)s%</strong> are >%(marginPercent)s% below target,,<strong>%(percentBelow)s%</strong> sont >%(marginPercent)s% en dessous de la cible,,,,,#. Translators: variable %(percentBelow)s shows what percentage of indicators#. are a certain percentage below target. The variable %(marginPercent)s is#. that percentage. Example: 31% are >15% below target */
Unavailable until the first target period ends with results reported.,,Indisponible jusqu'à la fin de la première période cible avec publication des résultats.,,,,,#. Translators: message describing why this display does not show any data. ##. */}
Indicators with targets,,Indicateurs avec cibles,,,,,#. Translators: title of a graphic showing indicators with targets */
have targets,,ont des cibles,,,,,#. Translators: a label in a graphic. Example: 31% have targets */
no targets,,pas de cibles,,,,,#. Translators: a label in a graphic. Example: 31% no targets */
Add missing targets,,Ajouter les cibles manquantes,,,,,
No targets,,Pas de cibles,,,,,
Indicators with results,,Indicateurs avec résultats,,,,,#. Translators: title of a graphic showing indicators with results */
have results,,ont des résultats,,,,,#. Translators: a label in a graphic. Example: 31% have results */
no results,,aucun résultat,,,,,#. Translators: a label in a graphic. Example: 31% no results */
Add missing results,,Ajouter les résultats manquants,,,,,
No results,,Aucun résultat,,,,,
Results with evidence,,Résultats avec preuves,,,,,#. Translators: title of a graphic showing results with evidence */
have evidence,,ont des preuves,,,,,#. Translators: a label in a graphic. Example: 31% have evidence */
no evidence,,aucune preuve,,,,,#. Translators: a label in a graphic. Example: 31% no evidence */
Add missing evidence,,Ajouter les preuves manquantes,,,,,
No evidence,,Aucune preuve,,,,,
Warning: This action cannot be undone. Are you sure you want to delete this pinned report?,,Attention : Cette action ne peut pas être annulée. Êtes-vous sûr de vouloir supprimer ce rapport épinglé ?,,,,,
Indicator changed,,Indicateurs avec cibles,,,"#| msgid ""Indicators with targets""",Yes,#. Translators: Audit log change type: An indicator was changed
Indicator created,,Indicateur,,,"#| msgid ""Indicator""",Yes,#. Translators: Audit log change type: A new indicator was created
Indicator deleted,,Indicateur,,,"#| msgid ""Indicator""",Yes,#. Translators: Audit log change type: An indicator was deleted
Result changed,,,,,,,#. Translators: Audit log change type: A result was changed
Result created,,,,,,,#. Translators: Audit log change type: A new result was created
Result deleted,,,,,,,#. Translators: Audit log change type: A result was deleted
Program Dates Changed,,,,,,,#. Translators: Audit log change type: The start and end dates of a program#. were modified
Number,,,,,,,#. Translators: Indicator target is a plain number and not a percentage
Percentage,,,,,,,#. Translators: The number on display is a % value
N/A,,,,,,,#. Translators: Not Appliciable abbreviation
Increase (+),,,,,,,#. Translators: The rate is increasing
Decrease (-),,,,,,,#. Translators: The rate is decreasing
Evidence Url,,aucune preuve,,,"#| msgid ""no evidence""",Yes,#. Translators: A URL that links to evidence to justify a result
Evidence Name,,,,,,,#. Translators: A proper name label for the evidence being linked to a result
Value,,,,,,,#. Translators: The value that was changed in the audit log
ID,,,,,,,#. Translators: Result ID value
Start Date,,,,,,,#. Translators: The beginning date of a program
End Date,,,,,,,#. Translators: The end date of a program
Name,,,,,,,#. Translators: Name of an indicator
Unit of Measure,,Unité de mesure,,,"#| msgid ""Unit of measure""",Yes,#. Translators: The units of the value being measured
Unit of Measure Type,,Unité de mesure,,,"#| msgid ""Unit of measure""",Yes,#. Translators: Audit log indicator change type: The units of the value#. being#. tracked
Is Cumulative,,,,,,,#. Translators: Audit log indicator change type: If an indicator is of type#. cumulative or not
LOP Target,,Cible,,,"#| msgid ""Target""",Yes,#. Translators: Life of Program target value
Direction of Change,,,,,,,#. Translators: If the value of the target should be increasing or decreasing
Rationale for Target,,,,,,,#. Translators: Audit log indicator change type: The rational behind the#. target of a result
Baseline Value,,Base de référence,,,"#| msgid ""Baseline""",Yes,#. Translators: The starting value of an indicator
