English,English - Plural,Translation - No Plural,Translation - Singluar,Translation - Plural,Similar to,Note to Translator
Your changes will be recorded in an audit log. Please record your rationale for future reference.,,,,,,
This action cannot be undone.,,"Advertencia: esta acción no se puede deshacer. Si hacemos estos cambios,",,,"#| msgid ""Warning: This action cannot be undone. If we make these changes,""",
Share Your Rationale,,,,,,
Indicator changed,,Nombre del indicador,,,"#| msgid ""Indicator Name""",
Indicator created,,Nombre del indicador,,,"#| msgid ""Indicator Name""",
Indicator deleted,,Datos del indicador,,,"#| msgid ""Indicator data""",
Result changed,,Guardar cambios,,,"#| msgid ""Save changes""",
Result created,,Fecha de creacion,,,"#| msgid ""Date created""",
Result deleted,,,,,,
Program Dates Changed,,Tablero del programa,,,"#| msgid ""Program Dashboard""",
Percentage,,Porcentaje (%),,,"#| msgid ""Percentage (%)""",
Evidence Url,,Evidencia,,,"#| msgid ""Evidence""",
Evidence Name,,Evidencia,,,"#| msgid ""Evidence""",
Date,,Fecha de edición,,,"#| msgid ""Edit Date""",
Start Date,,Fecha de inicio,,,"#| msgid ""Start date""",
End Date,,Fecha final,,,"#| msgid ""End date""",
Unit of Measure Type,,Unidad de medida,,,"#| msgid ""Unit of Measure""",
Is Cumulative,,Acumulativo,,,"#| msgid ""Cumulative""",
Rationale for Target,,Justificación del objetivo,,,"#| msgid ""Rationale for target""",
Baseline Value,,Base,,,"#| msgid ""Baseline""",
Baseline N/A,,Base,,,"#| msgid ""Baseline""",
Export to Excel,,Exportar a CSV,,,"#| msgid ""Export to CSV""",
Date and Time,,Agregado,,,"#| msgid ""Date added""",
Change Type,,Cambio,,,"#| msgid ""Change""",
Previous Entry,,Anterior,,,"#| msgid ""Previous""",
New Entry,,Nuevo indicador,,,"#| msgid ""New Indicator""",
Rationale,,Justificación del objetivo,,,"#| msgid ""Rationale for target""",
entries,,Países,,,"#| msgid ""Countries""",
Country Disaggregations,,Sin desagregación,,,"#| msgid ""No Disaggregation""",
Country name,,Nombre del país,,,"#| msgid ""Country Name""",
Country Code,,Nombre del país,,,"#| msgid ""Country Name""",
Save Changes,,Guardar cambios,,,"#| msgid ""Save changes""",
Disaggregation Type,,Tipo de desagregación,,,"#| msgid ""Disaggregation type""",
Remove,,,,,,
Add another option,,,,,,
Add country disaggregation,,Sin desagregación,,,"#| msgid ""No Disaggregation""",
Proposed,,,,,,
Code,,Código LIN,,,"#| msgid ""LIN Code""",
Delete Strategic Objective?,,Objetivos estratégicos,,,"#| msgid ""Strategic Objectives""",
Add strategic objective,,Objetivos estratégicos,,,"#| msgid ""Strategic Objectives""",
Successfully Saved,,"Éxito, datos de formulario guardados.",,,"#| msgid ""Success, form data saved.""",
Saving Failed,,,,,,
Successfully Deleted,,El Marcador se ha eliminado exitosamente!,,,"#| msgid ""Success, Bookmark Deleted!""",
None Selected,,Sin datos recopilados,,,"#| msgid ""No data collected""",
Add Country,,País,,,"#| msgid ""Country""",
Users,,Usuario,,,"#| msgid ""User""",
countries,,Países,,,"#| msgid ""Countries""",
Status and history,,,,,,
Admin User,,Nivel de administración 1,,,"#| msgid ""Admin Level 1""",
Organization name,,Nombre de la organización,,,"#| msgid ""Organization Name""",
Primary Address,,Dirección,,,"#| msgid ""Address""",
Primary Contact Name,,Nombre de contacto,,,"#| msgid ""Contact Name""",
Primary Contact Email,,,,,,
Primary Contact Phone Number,,Número de contacto,,,"#| msgid ""Contact Number""",
Preferred Mode of Contact,,,,,,
Save and Add Another,,,,,,
Status and History,,,,,,
Add Organization,,Organización,,,"#| msgid ""Organization""",
programs,,Programas,,,"#| msgid ""Programs""",
users,,,,,,
organizations,,organización,,,"#| msgid ""organization""",
Funded,,Fondo,,,"#| msgid ""Fund""",
Completed,,Completar,,,"#| msgid ""Complete""",
Program name,,Nombre del programa,,,"#| msgid ""Program Name""",
GAIT ID,,,,,,
Program Status,,Detalles del programa,,,"#| msgid ""Program details""",
Closed,,Cerrar,,,"#| msgid ""Close""",
Bulk Actions,,Acciones,,,"#| msgid ""Actions""",
Set program status,,Ver sitios del programa,,,"#| msgid ""View program sites""",
Add Program,,Programa,,,"#| msgid ""Program""",
Role,,,,,,
Resend Registration Email,,,,,,
Admin,,,,,,
Preferred First Name,,,,,,
Preferred Last Name,,,,,,
Save And Add Another,,,,,,
Programs and Roles,,Fecha de finalización del programa,,,"#| msgid ""Program End Date""",
Filter countries,,Países accesibles,,,"#| msgid ""Accessible Countries""",
Filter programs,,Filtrar por programa,,,"#| msgid ""Filter by program""",
Deselect All,,,,,,
Select All,,,,,,
Countries and Programs,,Programas totales,,,"#| msgid ""Total Programs""",
Roles and Permissions,,Riesgos y suposiciones,,,"#| msgid ""Risks and Assumptions""",
Verification email sent,,,,,,
Verification email send failed,,,,,,
Countries Permitted,,Países,,,"#| msgid ""Countries""",
Base Country,,País,,,"#| msgid ""Country""",
Set account status,,,,,,
Add to program,,Vida del programa,,,"#| msgid ""Life of program""",
Remove from program,,Vida del programa,,,"#| msgid ""Life of program""",
Admin Role,,Nivel de administración 1,,,"#| msgid ""Admin Level 1""",
Add User,,Agregar sitio,,,"#| msgid ""Add site""",
Super Admin,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
