English,English - Plural,Translation - No Plural,Translation - Singluar,Translation - Plural,Similar to,Needs work,Note to Translator
Indicator Name,,Nombre del indicador,,,,,
Please enter a number larger than zero.,,Por favor ingrese un número mayor que cero.,,,,,#. Translators: Input form error message
Site,,Sitio,,,,,
Actual value,,Valor actual,,,,,
Measure against target,,Medida contra objetivo,,,,,
Project,,Proyecto,,,,,
Link to file or folder,,Enlace al archivo o carpeta,,,,,
Result date,,Fecha del resultado,,,,,
"You can begin entering results on {program_start_date}, the program start date",,"Puede comenzar a ingresar resultados el {program_start_date}, fecha de inicio del programa",,,,,
Please select a date between {program_start_date} and {program_end_date},,Por favor seleccione una fecha entre {program_start_date} y {program_end_date},,,,,
Please select a date between {program_start_date} and {todays_date},,Por favor seleccione una fecha entre {program_start_date} y {todays_date},,,,,
URL required if record name is set,,La URL es requerida si el nombre del registro está establecido,,,,,
years,,años,,,,,
semi-annual periods,,períodos semestrales,,,,,
tri-annual periods,,períodos trienales,,,,,
quarters,,trimestres,,,,,
months,,meses,,,,,
Show all,,Ver todo,,,,,
Most recent,,Más reciente,,,,,
Program,,Programa,,,,,
Time periods,,Períodos de tiempo,,,,,
enter a number,,ingrese un número,,,,,
Target periods,,Periodos objetivo,,,,,
Levels,,Niveles,,,,,
Types,,Tipos,,,,,
Sectors,,Sectores,,,,,
Sites,,Sitios,,,,,
Indicators,,Indicadores,,,,,
START,,COMIENZO,,,,,
END,,FIN,,,,,
TARGET PERIODS,,PERIODOS OBJETIVO,,,,,
Performance Indicator,,Indicador de rendimiento,,,,,
Targets,,Objetivos,,,,,
Data Acquisition,,Adquisición de datos,,,,,
Analyses and Reporting,,Análisis e informes,,,,,
Level,,Nivel,,,,,
No.,,No.,,,,,#. Translators: Number of the indicator being shown
Performance indicator,,Indicador de rendimiento,,,,,
Indicator source,,Origen del indicador,,,,,
Indicator definition,,Definición del indicador,,,,,
Disaggregation,,Desagregación,,,,,
Unit of measure,,Unidad de medida,,,,,
Direction of change,,Dirección de cambio,,,,,
# / %,,# / %,,,,,
Calculation,,Cálculo,,,,,
Baseline value,,Valor de referencia,,,,,
LOP target,,Objetivo LOP,,,,,
Rationale for target,,Justificación del objetivo,,,,,
Target frequency,,Frecuencia objetivo,,,,,
Means of verification,,Medios de verificación,,,,,
Data collection method,,Método de recopilación de datos,,,,,
Frequency of data collection,,Frecuencia de recopilación de datos,,,,,
Data points,,Puntos de datos,,,,,
Responsible person(s) & team,,Persona(s) o equipo responsable,,,,,
Method of analysis,,Método de análisis,,,,,
Information use,,Uso de información,,,,,
Frequency of reporting,,Frecuencia de informes,,,,,
Quality assurance measures,,Medidas de aseguramiento de la calidad,,,,,
Data issues,,Problemas de datos,,,,,
Comments,,Comentarios,,,,,
Indicator plan,,Plan de indicadores,,,,,
Name,,Nombre,,,,,
Table id,,Identificador de la tabla,,,,,
Owner,,Propietario,,,,,
Remote owner,,Propietario remoto,,,,,
Country,,País,,,,,
URL,,URL,,,,,
Unique count,,Recuento único,,,,,
Create date,,Fecha de creación,,,,,
Edit date,,Fecha de edición,,,,,
Indicator type,,Tipo de indicador,,,,,
Description,,Descripción,,,,,
Indicator Type,,Tipo de indicador,,,,,
Status,,Estado,,,,,
Country Strategic Objectives,,Objetivos Estratégicos del País,,,,,
Program Objective,,Objetivo del programa,,,,,
Customsort,,Customsort,,,,,
Disaggregation type,,Tipo de desagregación,,,,,
Standard (TolaData Admins Only),,Estándar (solo administradores de TolaData),,,,,
Label,,Etiqueta,,,,,
Disaggregation label,,Etiqueta de desagregación,,,,,
Value,,Valor,,,,,
Frequency,,Frecuencia,,,,,
Reporting Frequency,,Frecuencia de informes,,,,,
Frequency in number of days,,Frecuencia en cantidad de días,,,,,
Data Collection Frequency,,Frecuencia de recopilación de datos,,,,,
Reporting Period,,Período de información,,,,,
Feed URL,,URL de la fuente,,,,,
External Service,,Servicio externo,,,,,
External service,,Servicio externo,,,,,
Full URL,,URL completa,,,,,
Unique ID,,Identificación única,,,,,
External Service Record,,Registro de servicio externo,,,,,
Life of Program (LoP) only,,Vida del programa (LoP) solamente,,,,,
Midline and endline,,Línea media y línea final,,,,,
Annual,,Anual,,,,,#. Translators:  label for the date of the last completed Annual target period.
Semi-annual,,Semestral,,,,,
Tri-annual,,Trienal,,,,,
Quarterly,,Trimestral,,,,,#. Translators:  label for the date of the last completed Quarterly target period.
Monthly,,Mensual,,,,,#. Translators:  label for the date of the last completed Monthly target period.
Event,,Evento,,,,,
Number (#),,Número (#),,,,,
Percentage (%),,Porcentaje (%),,,,,
Direction of change (not applicable),,Dirección de cambio (no aplica),,,,,
Increase (+),,Aumentar (+),,,,,
Decrease (-),,Disminuir (-),,,,,
Indicator key,,Clave del Indicador,,,,,
Country Strategic Objective,,Objetivo estratégico del país,,,,,
