English,English - Plural,Translation - No Plural,Translation - Singluar,Translation - Plural,Similar to,Needs work,Note to Translator
"Your changes will be recorded in a change log. For future reference, please share your reason for these changes.",,"Sus cambios serán guardados en un registro de cambios. Para referencia futura, indique la justificación para estos cambios.",,,,,
This action cannot be undone,,Advertencia: esta acción no se puede deshacer,,,,,
Removing this target means that %s result will no longer have targets associated with it.,Removing this target means that %s results will no longer have targets associated with them.,,Eliminar este objetivo implica que %s resultado no tedrá más objetivos asociados.,Eliminar este objetivo implica que %s resultados no tedrán más objetivos asociados.,,,
"If we make these changes, %s data record will no longer be associated with the Life of Program target, and will need to be reassigned to a new target.\n\n Proceed anyway?","If we make these changes, %s data records will no longer be associated with the Life of Program target, and will need to be reassigned to new targets.\n\n Proceed anyway?",,"Si hacemos estos cambios, %s registro de datos no estará más asociado con el objetivo de vida del programa (LoP), y necesitará reasignarse a un nuevo objetivo.\n\n Proceder de todos modos?","Si hacemos estos cambios, %s registros de datos no estarán más asociados con el objetivo de vida del programa (LoP), y necesitarán reasignarse a nuevos objetivos.\n\n Proceder de todos modos?",,,
Ok,,OK,,,,,#. Translators: Button to approve a form
Cancel,,Cancelar,,,,,#. Translators: Button to cancel a form submission
A reason is required.,,Se requiere una justificación.,,,,,
This action cannot be undone.,,Advertencia: esta acción no se puede deshacer.,,,,,
Warning,,Advertencia,,,,,
Reason for change,,Justificación para el cambio,,,,,
Date,,Fecha,,,,,
Admin,,Administrador,,,,,
Change Type,,Tipo de Cambio,,,,,
Previous Entry,,Valor Anterior,,,,,
New Entry,,Nuevo Valor,,,,,
selected,,seleccionado,,,,,
Search,,Buscar,,,,,
Filter by program,,Filtrar por programa,,,,,
Find a document,,Encontrar un documento,,,,,
Add document,,Agregar documento,,,,,
Document,,Documento,,,,,
Date added,,Agregado,,,,,
Project,,Proyecto,,,,,
Delete,,Eliminar,,,,,
Edit,,Editar,,,,,
Showing rows %(fromCount)s to %(toCount)s of %(totalCount)s,,Mostrando filas %(fromCount)s a %(toCount)s de %(totalCount)s,,,,,#. Translators: Ex. Showing rows 1 to 50 of 92 */
%s indicator has missing targets,%s indicators have missing targets,,%s indicador no tiene objetivos,%s indicadores no tienen objetivos,,,#. Translators: The number of indicators that do not have targets defined on them
